
Total incentives compiled: 89

Comprehensive List of Energy Incentives and Grants (NYC/NYS/Westchester):
| Program Name                                                                  | Provider                                         | Level      | Amount Available                          | Deadline/Status         | Qualifying Projects Tags                                                      | Key Requirements                           |
|:------------------------------------------------------------------------------|:-------------------------------------------------|:-----------|:------------------------------------------|:------------------------|:------------------------------------------------------------------------------|:-------------------------------------------|
| 179D Energy Efficient Commercial Buildings Tax Deduction                      | IRS (Enhanced by IRA)                            | Federal    | Up to $5.00/sq ft                         | Permanent               | HVAC, Lighting, Envelope, Hot Water                                           | * Min 25% energy savings                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage for max deduction        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Includes gov't building designers        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * ASHRAE 90.1 compliance                   |
| 45L New Energy Efficient Home Credit                                          | IRS (IRA Enhanced)                               | Federal    | $2,500-$5,000/unit                        | Through 2032            | New Construction, Multifamily, Energy Star                                    | * Energy Star certification required       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * $5,000 for Zero Energy Ready             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage required                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 3 stories or less                        |
| Investment Tax Credit (ITC)                                                   | IRS                                              | Federal    | 30% of project cost                       | Through 2032            | Solar, Storage, Geothermal                                                    | * Commercial properties                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Direct pay for non-profits               |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Domestic content bonus +10%              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Energy community bonus +10%              |
| Building Cleaner Communities Competition                                      | NYSERDA                                          | State      | $15M available                            | Dec 30, 2025            | Net-Zero, Carbon Neutral, Deep Retrofit                                       | * Carbon neutral design required           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 50%+ to disadvantaged communities        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Part of Regional EDC process             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Peak demand reduction focus              |
| NYS Clean Heat Program                                                        | NYSERDA                                          | State      | $1,500-$3,000/ton                         | Ongoing                 | Heat Pumps, Geothermal, VRF Systems                                           | * Air source or ground source              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must replace fossil fuel system          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Qualified contractor required            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Higher incentives in disadvantaged areas |
| FlexTech Program                                                              | NYSERDA                                          | State      | 50% cost share                            | Ongoing                 | Energy Studies, Feasibility, Indoor Air Quality                               | * Technical studies only                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Commercial/industrial/institutional      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Max $1M per study                        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Implementation plan required             |
| Energy Storage Incentive Program                                              | NYSERDA                                          | State      | $200-350/kWh                              | Block-based             | Battery Storage, Grid Services, Resilience                                    | * NYC/Westchester higher rates             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Paired with solar gets bonus             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Min 5 kW system                          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 10-year performance requirement          |
| Buildings Innovation Funding                                                  | NYSERDA                                          | State      | $5M available                             | July 24, 2025           | Innovation, Demonstration, Emerging Tech                                      | * New/emerging technologies                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Demonstration projects                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Clean energy focus                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Scalability required                     |
| NYC Accelerator PACE Financing                                                | NYC Mayor's Office/NYCEEC                        | Local/NYC  | 100% project cost                         | Ongoing                 | Long-term Finance, Energy Efficiency, Renewable Energy                        | * Commercial & multifamily                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 20-year terms available                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * No upfront cash required                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * LL97 compliance projects eligible        |
| Local Law 97 Compliance Support                                               | NYC Accelerator                                  | Local/NYC  | Free assistance                           | May 1, 2025 filing      | Decarbonization, Compliance, Technical Support                                | * Buildings >25,000 sq ft                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Free energy assessments                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Decarbonization planning                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Penalty avoidance strategies             |
| Con Edison C&I Energy Efficiency                                              | Con Edison                                       | Utility    | Up to $1M electric/$250K gas              | Ongoing                 | Custom Measures, Prescriptive, Whole Building                                 | * >100kW peak demand                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 50% cost cap per measure                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Pre-approval required                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Queens/Brooklyn bonus available          |
| Con Edison Geothermal Incentive                                               | Con Edison                                       | Utility    | Up to $40,000                             | May 31, 2025            | Geothermal, Heat Pumps, Electrification                                       | * Additional $5,000 limited time           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Disadvantaged communities +$10K          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Must replace gas heating                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Westchester eligible                     |
| Affordable Multifamily Energy Efficiency                                      | Con Edison/NYSERDA                               | Utility    | Up to $2,000/unit                         | Ongoing                 | Affordable Housing, Weatherization, Systems Upgrade                           | * 5+ units required                        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Income qualification docs                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Comprehensive or prescriptive            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 100+ points = Tier 1 incentive           |
| Smart Solutions for Natural Gas                                               | Con Edison                                       | Utility    | 100% incentive increase                   | Westchester focus       | Gas Efficiency, Electrification, Demand Reduction                             | * Westchester priority areas               |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Heat pump conversions                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Moratorium areas eligible                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * $223M total program                      |
| Charles Pankow Foundation Research Grants                                     | Pankow Foundation                                | Foundation | $50K-$500K/project                        | Rolling basis           | Construction Innovation, Research, Industry Solutions                         | * Industry collaboration required          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Practical applications focus             |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public domain results                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Construction efficiency priority         |
| On-Site Energy Manager Program                                                | NYSERDA                                          | State      | 75% salary coverage                       | Ongoing                 | Energy Management, Full-time Position, Technical Support                      | * Large facilities priority                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 3-year commitment                        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Dedicated energy manager                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance tracking required            |
| Charge Ready NY                                                               | NYSERDA                                          | State      | $4,000-$8,000/port                        | Ongoing                 | EV Charging, Level 2, Workplace                                               | * Workplaces & multifamily                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Public access options                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Disadvantaged area bonus                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Make-ready costs covered                 |
| EmPower+                                                                      | NYSERDA                                          | State      | Free upgrades + financing                 | Ongoing                 | Income Eligible, Weatherization, Health & Safety                              | * Income qualified households              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Free energy improvements                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Health/safety repairs included           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 0% financing available                   |
| P-12 Clean Green Schools Initiative                                           | NYSERDA                                          | State      | Up to 100% funding                        | Ongoing                 | Schools, High-Needs, Disadvantaged                                            | * Public schools only                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * High-needs designation                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Or in disadvantaged community            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Energy audits included                   |
| GridRewards Demand Response                                                   | Con Edison/Sustainable Westchester               | Local      | $10-50/kW + event payments                | Apr 30, 2025 enrollment | Demand Response, Peak Reduction, Smart Controls                               | * Commercial & residential                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Westchester/NYC eligible                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Smart thermostat bonus                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 4-6 events per summer                    |
| REAP Grant (Rural Energy)                                                     | USDA                                             | Federal    | 25% grant + 75% loan                      | Quarterly               | Rural Areas, Agriculture, Small Business                                      | * Rural areas only                         |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Agriculture priority                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Energy audits required                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Technical assistance available           |
| NY-Sun Commercial/Industrial                                                  | NYSERDA                                          | State      | $0.10-0.20/W                              | Block-based             | Solar PV, Community Solar, Canopy                                             | * Non-residential systems                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Con Ed territory rates vary              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Prevailing wage bonus                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * DAC locations prioritized                |
| Strategic Energy Management                                                   | NYSERDA                                          | State      | Fully funded training                     | Cohort-based            | Training, Coaching, Long-term Planning                                        | * Large energy users                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 2-year commitment                        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Executive buy-in required                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Performance tracking                     |
| Solar for All                                                                 | NYSERDA                                          | State      | $5-15/month savings                       | Ongoing enrollment      | Community Solar, LMI Focus, No Cost                                           | * Income eligible households               |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * No upfront costs                         |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Cancel anytime                           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Automatic enrollment available           |
| Westchester Clean Energy Accelerator                                          | Westchester County/Sustainable Westchester       | Local      | Technical assistance                      | Ongoing                 | Workforce Dev, Business Support, Networking                                   | * Westchester businesses                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Clean energy focus                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Training programs                        |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Job placement support                    |
| DOE BENEFIT Program                                                           | US Department of Energy                          | Federal    | $500K-$5M/project                         | Annual FOA              | R&D, Innovation, Demonstration                                                | * Building technology focus                |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * University partnerships                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Cost share required                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Commercialization plan                   |
| Renew America's Nonprofits                                                    | DOE/Sustainable Westchester                      | Foundation | Grants for nonprofits                     | June 2025 submission    | Nonprofits, Energy Upgrades, 32 Buildings                                     | * NY nonprofits only                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Energy efficiency focus                  |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 3-year contract                          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Competitive selection                    |
| Energy Management Systems Incentive                                           | Con Edison                                       | Utility    | Per control point                         | Ongoing                 | BMS, Controls, Automation                                                     | * New EMS points only                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Direct energy savings                    |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Upstate NY eligible                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Integration support available            |
| Clean Energy Workforce Development                                            | NYSERDA                                          | State      | Various training funds                    | Multiple programs       | Training, Internships, Apprenticeships                                        | * Clean Energy Internship Program          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * On-the-Job Training available            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Priority populations focus               |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Employer incentives                      |
| Climate Smart Communities Grants                                              | NYS DEC                                          | State      | 50-90% cost share                         | Annual rounds           | Municipal, Climate Action, Planning                                           | * Local governments only                   |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Climate action plans                     |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * GHG inventories                          |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Implementation projects                  |
| Greenhouse Gas Reduction Fund (GGRF)                                          | EPA                                              | Federal    | $27B nationally                           | Rolling basis           | Green Banks, Low Income, Financing                                            | * Through green banks                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * 40% disadvantaged communities            |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Zero emission tech                       |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * NY Green Bank participating              |
| LIHTC with Energy Efficiency                                                  | IRS/HCR                                          | Federal    | 9% or 4% credits                          | Annual QAP              | Affordable Housing, Tax Credits, Green Building                               | * Affordable housing projects              |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Energy efficiency = QAP points           |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Passive House bonus                      |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Syndicatable credits                     |
| New Markets Tax Credit (NMTC)                                                 | US Treasury/CDFI Fund                            | Federal    | 39% credit over 7 years                   | Annual allocation       | Low Income, Community Dev, Mixed Use                                          | * Low income census tracts                 |
|                                                                               |                                                  |            |                                           |                         |                                                                               | * Commercial/mixed-use                     |
