id,name,provider,level,amount,deadline,project_types,requirements,description,contact_info,application_url,status,technology,created_at,updated_at,verification_level,verification_date,verification_source,verification_notes,last_data_check,data_source,deadline_status,amount_verified,deadline_verified,next_check_due
45,EPA Smart Sectors Partnership Program,Environmental Protection Agency,federal,$200 million program,Multi-year initiative,"[""Industrial Efficiency"",""Pollution Prevention"",""Environmental Management""]","[""Industry partnership"",""Environmental goals""]",Partnership program for environmental improvements in key sectors,,,active,efficiency,2025-06-26 04:15:28.984,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:34.310041,Government Agency Categories,Government programs verified as existing categories requiring individual verification,2025-07-22 22:44:17.692,Environmental Protection Agency official programs,active,f,f,2025-10-22 15:55:12.057349
6,NYC Accelerator PACE Financing,NYC Mayor's Office/NYCEEC,Local/NYC,100% project cost,Ongoing,"[""Long-term Finance"",""Energy Efficiency"",""Renewable Energy""]","[""Commercial & multifamily"",""20-year terms available"",""No upfront cash required"",""LL97 compliance projects eligible""]","Long-term, low-cost financing for energy efficiency and renewable energy projects in NYC buildings.",info@nycaccelerator.com,https://accelerator.nyc/pace,active,efficiency,2025-07-18 23:19:05.229506,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:34.310041,Government Agency Categories,Government programs verified as existing categories requiring individual verification,2025-07-22 15:55:12.057349,https://accelerator.nyc/pace,ongoing,f,f,2025-10-22 15:55:12.057349
29,Ford Foundation Climate Futures Initiative,Ford Foundation,foundation,$25 million grants,Multi-year funding,"[""Climate Innovation"",""Social Justice"",""Community Solutions""]","[""Nonprofit status"",""Community impact focus""]",Climate and social justice funding,,,active,efficiency,2025-06-26 04:13:10.71,2025-07-27 02:32:49.960246,2,2025-07-20 19:33:39.825049,Foundation Public Commitments,Private foundation programs - amounts subject to allocation decisions,2025-07-22 22:44:17.754,Ford Foundation official programs,active,f,f,2025-10-22 15:55:12.057349
28,National Grid Advanced Energy Solutions,National Grid,utility,$150 million program,Ongoing,"[""Advanced Energy"",""Grid Services"",""Customer Solutions""]","[""National Grid customer"",""Qualifying technology""]",Advanced energy solutions for customers,,,active,efficiency,2025-06-26 04:13:10.71,2025-07-27 02:32:49.960246,4,2025-07-20 18:58:50.08206,Official Utility Websites,Major Northeast utility programs verified against company websites,2025-07-22 15:55:12.057349,National Grid official programs,ongoing,t,t,2025-07-29 15:55:12.057349
53,Gates Foundation Climate Adaptation and Resilience,Bill and Melinda Gates Foundation,foundation,$1.4 billion commitment,Long-term funding,"[""Climate Adaptation"",""Agricultural Innovation"",""Global Development""]","[""Global south focus"",""Adaptation solutions""]",Supporting climate adaptation for vulnerable populations globally,,,active,efficiency,2025-06-26 04:19:37.848,2025-07-27 02:32:49.960246,3,2025-07-20 18:58:16.080639,Foundation Public Announcements,Foundation commitments verified through public announcements - amounts may vary by allocation,2025-07-22 22:44:17.813,Bill and Melinda Gates Foundation official programs,active,f,f,2025-08-22 15:55:12.057349
44,DOE Advanced Manufacturing Office Programs,Department of Energy,federal,$400 million annually,Annual solicitations,"[""Advanced Manufacturing"",""Industrial Efficiency"",""Process Innovation""]","[""Manufacturing focus"",""Technology development""]",Research and development funding for advanced manufacturing,,,active,efficiency,2025-06-26 04:15:28.984,2025-07-27 02:32:49.960246,3,2025-07-21 23:27:46.425535,DOE Program Categories,DOE programs verified as legitimate department programs,2025-07-22 22:44:17.87,Department of Energy official programs,active,f,f,2025-08-22 15:55:12.057349
37,EPA Brownfields Clean Energy Projects,Environmental Protection Agency,federal,$200 million program,Multi-year funding,"[""Brownfield Redevelopment"",""Renewable Energy"",""Site Remediation""]","[""Brownfield site"",""Environmental assessment""]",Clean energy development on contaminated sites,,,active,efficiency,2025-06-26 04:14:36.841,2025-07-27 02:32:49.960246,2,2025-07-21 23:28:34.310041,Government Agency Categories,Government programs verified as existing categories requiring individual verification,2025-07-22 22:44:17.929,Environmental Protection Agency official programs,active,f,f,2025-10-22 15:55:12.057349
52,Rockefeller Foundation Power and Climate Program,Rockefeller Foundation,foundation,$1 billion commitment,Multi-year initiative,"[""Energy Access"",""Climate Resilience"",""Economic Opportunity""]","[""Global impact"",""Systems change""]",Advancing equitable energy systems and climate resilience,,,active,efficiency,2025-06-26 04:19:37.848,2025-07-27 02:32:49.960246,2,2025-07-20 19:33:39.825049,Foundation Public Commitments,Private foundation programs - amounts subject to allocation decisions,2025-07-22 22:44:17.987,Rockefeller Foundation official programs,active,f,f,2025-10-22 15:55:12.057349
36,USDA Rural Development High Energy Cost Grants,USDA Rural Development,federal,$10 million annually,Annual applications,"[""Rural Energy Projects"",""High Energy Cost Areas""]","[""Rural location"",""High energy costs"",""Population limits""]",Grants for energy systems in high-cost rural areas,,,active,efficiency,2025-06-26 04:14:36.841,2025-07-27 02:32:49.960246,2,2025-07-20 19:33:58.440709,Federal Agency Categories,Federal programs exist in these categories but amounts require individual verification,2025-07-22 22:44:18.046,USDA Rural Development official programs,active,f,f,2025-10-22 15:55:12.057349
38,Connecticut Green Bank Commercial PACE,Connecticut Green Bank,state,$1 billion financing capacity,Ongoing availability,"[""Commercial Energy Efficiency"",""Renewable Energy"",""Combined Heat and Power""]","[""Connecticut location"",""Property owner consent""]",Commercial Property Assessed Clean Energy financing,,,active,efficiency,2025-06-26 04:14:36.841,2025-07-27 02:32:49.960246,5,2025-07-20 18:58:52.453926,Connecticut Green Bank Official Website,Connecticut Green Bank PACE financing programs verified,2025-07-22 22:44:32.147,Connecticut Green Bank official programs,ongoing,t,t,2025-07-29 22:44:32.147
